,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI
4059,General Store,female,Philippines,PH,shared,field_partner,46,1225,English,irregular,Retail,funded,8,0.422
4060,Clothing Sales,female,Mongolia,MN,shared,field_partner,59,1625,English,monthly,Clothing,funded,26,0.044
4061,Clothing Sales,female,Honduras,HN,shared,field_partner,6,725,Spanish,monthly,Clothing,not_funded,14,0.112
4062,Manufacturing,female,Philippines,PH,shared,field_partner,8,250,English,irregular,Manufacturing,funded,8,0.029
4063,Food Production/Sales,female,Togo,TG,shared,field_partner,8,200,French,irregular,Food,funded,8,0.067
4064,Pigs,female,Philippines,PH,shared,field_partner,3,125,English,irregular,Agriculture,funded,11,0.055
4065,Higher education costs,male,Jordan,JO,shared,field_partner,29,725,English,monthly,Education,funded,15,0.011
4066,Grocery Store,group,Congo,CG,shared,field_partner,69,2375,English,irregular,Food,funded,6,0.102
4067,General Store,female,Philippines,PH,shared,field_partner,1,475,English,irregular,Retail,funded,6,0.029
4068,Utilities,male,Jordan,JO,shared,field_partner,14,1150,English,monthly,Services,not_funded,18,0.005
4069,Pharmacy,female,Sierra Leone,SL,shared,field_partner,5,125,English,irregular,Health,funded,11,0.319
4070,Farming,female,Kenya,KE,shared,field_partner,15,400,English,monthly,Agriculture,funded,14,0.223
4071,Home Appliances,group,Cambodia,KH,shared,field_partner,6,175,English,monthly,Personal Use,funded,8,0.121
4072,Restaurant,female,Philippines,PH,shared,field_partner,8,525,English,irregular,Food,funded,9,0.091
4073,Restaurant,female,Kenya,KE,shared,field_partner,10,250,English,monthly,Food,funded,11,0.223
4074,Child Care,female,Colombia,CO,shared,field_partner,25,675,Spanish,bullet,Services,funded,27,0.005
4075,Food Production/Sales,female,Cambodia,KH,not shared,field_partner,24,1000,English,monthly,Food,funded,20,0.16
4076,Construction,female,Pakistan,PK,shared,field_partner,18,575,English,monthly,Construction,funded,14,0.039
4077,Pigs,female,Philippines,PH,shared,field_partner,25,725,English,irregular,Agriculture,funded,10,0.055
4078,Retail,female,Kenya,KE,shared,field_partner,6,150,English,irregular,Retail,funded,13,0.075
4079,Farming,male,Nigeria,NG,shared,field_partner,15,375,English,bullet,Agriculture,funded,21,0.311
4080,General Store,female,Timor-Leste,TL,not shared,field_partner,38,1000,English,monthly,Retail,funded,1 Year,0.044
4081,Used Clothing,female,Togo,TG,shared,field_partner,5,125,French,irregular,Clothing,funded,7,0.067
4082,General Store,female,Nicaragua,NI,shared,field_partner,9,425,Spanish,monthly,Retail,funded,15,0.161
4083,Fishing,female,Philippines,PH,shared,field_partner,5,125,English,irregular,Food,funded,8,0.055
4084,Vehicle,female,Cambodia,KH,not shared,field_partner,35,1000,English,monthly,Personal Use,funded,20,0.121
4085,Clothing Sales,female,Kenya,KE,shared,field_partner,23,675,English,monthly,Clothing,funded,14,0.075
4086,Pigs,female,Cambodia,KH,shared,field_partner,1,250,English,monthly,Agriculture,funded,14,0.16
4087,Food,female,Togo,TG,shared,field_partner,29,725,French,irregular,Food,funded,1 Year,0.067
4088,Tailoring,group,Afghanistan,AF,not shared,field_partner,28,850,English,monthly,Services,funded,10,0.117
4089,General Store,female,Philippines,PH,shared,field_partner,11,325,English,irregular,Retail,funded,7,0.055
4090,Cereals,female,Kenya,KE,shared,field_partner,13,500,English,irregular,Food,funded,14,0.02
4091,Food Market,female,Sierra Leone,SL,shared,field_partner,7,300,English,irregular,Food,funded,7,0.319
4092,Vehicle,female,Cambodia,KH,not shared,field_partner,53,1500,English,monthly,Personal Use,funded,26,0.16
4093,Pigs,female,El Salvador,SV,shared,field_partner,19,500,Spanish,monthly,Agriculture,funded,14,0.077
4094,Furniture Making,group,Pakistan,PK,shared,field_partner,24,775,English,monthly,Manufacturing,funded,13,0.184
4095,Timber Sales,female,Sierra Leone,SL,shared,field_partner,18,575,English,irregular,Construction,funded,11,0.319
4096,Cosmetics Sales,female,Peru,PE,shared,field_partner,21,575,Spanish,monthly,Retail,not_funded,14,0.038
4097,Home Appliances,group,Cambodia,KH,shared,field_partner,7,200,English,monthly,Personal Use,funded,8,0.121
4098,Retail,female,Philippines,PH,shared,field_partner,11,350,English,irregular,Retail,funded,14,0.055
4099,Clothing,group,Dominican Republic,DO,shared,field_partner,158,4725,English,irregular,Clothing,funded,7,0.039
4100,Motorcycle Transport,male,Bolivia,BO,shared,field_partner,19,1000,Spanish,monthly,Transportation,not_funded,20,0.043
4101,Grocery Store,female,Nigeria,NG,shared,field_partner,25,675,English,monthly,Food,funded,10,0.605
4102,Pigs,male,Nicaragua,NI,shared,field_partner,13,400,Spanish,irregular,Agriculture,funded,14,0.112
4103,Farming,female,Kenya,KE,shared,field_partner,8,200,English,monthly,Agriculture,funded,14,0.223
4104,Retail,group,Peru,PE,shared,field_partner,17,1800,Spanish,monthly,Retail,funded,7,0
4105,General Store,female,Philippines,PH,shared,field_partner,12,375,English,irregular,Retail,funded,14,0.055
4106,Grocery Store,female,Honduras,HN,shared,field_partner,23,875,Spanish,monthly,Food,funded,20,0.112
4107,Agriculture,female,Tajikistan,TJ,not shared,field_partner,43,1075,Russian,monthly,Agriculture,funded,14,0.033
4108,Food Production/Sales,female,Nigeria,NG,not shared,field_partner,31,950,English,monthly,Food,funded,10,0.605
4109,Retail,female,Pakistan,PK,shared,field_partner,9,400,English,monthly,Retail,funded,14,0.039
4110,Higher education costs,female,Colombia,CO,shared,field_partner,15,375,Spanish,monthly,Education,funded,6,0.583
4111,Fruits & Vegetables,male,Nicaragua,NI,shared,field_partner,9,250,Spanish,monthly,Food,funded,8,0.112
4112,Vehicle,female,Cambodia,KH,shared,field_partner,13,400,English,monthly,Personal Use,funded,20,0.16
4113,Cattle,female,El Salvador,SV,shared,field_partner,49,1500,Spanish,monthly,Agriculture,funded,20,0.077
4114,Agriculture,female,El Salvador,SV,shared,field_partner,20,950,Spanish,bullet,Agriculture,funded,13,0.054
4115,Home Appliances,group,Cambodia,KH,shared,field_partner,7,175,English,monthly,Personal Use,funded,8,0.121
4116,Farming,female,Philippines,PH,shared,field_partner,9,250,English,irregular,Agriculture,funded,11,0.055
4117,Farm Supplies,female,El Salvador,SV,shared,field_partner,20,500,Spanish,bullet,Agriculture,funded,1 Year,0.077
4118,Agriculture,male,Kenya,KE,shared,field_partner,4,400,English,bullet,Agriculture,not_funded,14,0.02
4119,Beauty Salon,male,Kenya,KE,shared,field_partner,9,900,English,monthly,Services,not_funded,17,0.02
4120,General Store,female,El Salvador,SV,shared,field_partner,11,400,Spanish,monthly,Retail,funded,14,0.077
4121,Agriculture,male,Peru,PE,shared,field_partner,16,475,Spanish,monthly,Agriculture,funded,14,0.038
4122,Tailoring,male,Nicaragua,NI,shared,field_partner,17,450,English,monthly,Services,funded,15,0.077
4123,Food Production/Sales,female,Togo,TG,shared,field_partner,7,200,French,irregular,Food,funded,10,0.067
4124,General Store,female,Philippines,PH,shared,field_partner,12,300,English,irregular,Retail,funded,10,0.055
4125,Spare Parts,female,Togo,TG,shared,field_partner,25,1000,French,monthly,Retail,funded,14,0.067
4126,Tailoring,male,Kenya,KE,shared,field_partner,8,200,English,monthly,Services,funded,8,0.223
4127,Motorcycle Repair,female,Timor-Leste,TL,not shared,field_partner,39,1000,English,monthly,Services,funded,14,0.406
4128,Food Stall,female,Colombia,CO,not shared,field_partner,40,1050,Spanish,monthly,Food,funded,27,0.005
4129,Retail,female,Senegal,SN,shared,field_partner,20,575,French,bullet,Retail,funded,8,0.003
4130,Food Market,male,Togo,TG,not shared,field_partner,18,725,French,monthly,Food,funded,17,0.067
4131,General Store,female,Philippines,PH,shared,field_partner,26,800,English,monthly,Retail,not_funded,26,0.497
4132,Fuel/Firewood,female,Philippines,PH,shared,field_partner,14,375,English,irregular,Retail,funded,8,0.055
4133,Cosmetics Sales,female,El Salvador,SV,not shared,field_partner,35,1100,Spanish,monthly,Retail,funded,26,0.054
4134,Textiles,group,Peru,PE,shared,field_partner,143,5625,Spanish,irregular,Arts,funded,6,0.062
4135,Crafts,female,Philippines,PH,shared,field_partner,16,400,English,irregular,Arts,funded,14,0.055
4136,Farming,female,Philippines,PH,shared,field_partner,3,75,English,irregular,Agriculture,funded,7,0.055
4137,Farming,female,Cambodia,KH,shared,field_partner,14,500,English,monthly,Agriculture,funded,14,0.16
4138,Farming,male,Kenya,KE,shared,field_partner,46,1475,English,monthly,Agriculture,funded,14,0.19
4139,Fruits & Vegetables,female,Peru,PE,not shared,field_partner,14,375,Spanish,irregular,Food,funded,6,0.062
4140,Furniture Making,male,Lebanon,LB,shared,field_partner,48,2000,English,monthly,Manufacturing,funded,20,0.011
4141,Food Stall,female,Philippines,PH,shared,field_partner,9,425,English,irregular,Food,funded,8,0.422
4142,Sewing,female,Colombia,CO,not shared,field_partner,15,500,Spanish,monthly,Services,funded,14,0.005
4143,Charcoal Sales,female,Togo,TG,shared,field_partner,19,850,French,monthly,Retail,funded,14,0.067
4144,Personal Expenses,female,Peru,PE,shared,field_partner,8,200,Spanish,monthly,Personal Use,funded,8,0.038
4145,Food Production/Sales,female,El Salvador,SV,shared,field_partner,19,700,Spanish,monthly,Food,funded,14,0.054
4146,Mobile Phones,male,Philippines,PH,shared,field_partner,14,625,English,irregular,Retail,funded,8,0.039
4147,Services,male,Bolivia,BO,shared,field_partner,16,1025,Spanish,monthly,Services,funded,14,0.043
4148,Hardware,male,Nicaragua,NI,not shared,field_partner,17,450,Spanish,irregular,Retail,funded,8,0.112
4149,Personal Housing Expenses,male,Nicaragua,NI,not shared,field_partner,10,250,Spanish,monthly,Housing,funded,15,0.161
4150,Farming,female,India,IN,shared,field_partner,7,175,English,bullet,Agriculture,funded,43,0.121
4151,Food Production/Sales,female,Kenya,KE,shared,field_partner,11,325,English,irregular,Food,funded,13,0.075
4152,Tailoring,group,Zimbabwe,ZW,shared,field_partner,26,1200,English,monthly,Services,funded,8,0.024
4153,Agriculture,female,El Salvador,SV,shared,field_partner,16,500,Spanish,monthly,Agriculture,funded,14,0.077
4154,Agriculture,group,Kenya,KE,shared,field_partner,8,1250,English,bullet,Agriculture,funded,11,0.223
4155,Food Stall,female,Peru,PE,shared,field_partner,9,775,Spanish,monthly,Food,funded,8,0.062
4156,Food Stall,female,Bolivia,BO,shared,field_partner,20,875,Spanish,monthly,Food,not_funded,14,0.077
4157,Farming,group,Mali,ML,not shared,field_partner,46,1475,French,bullet,Agriculture,funded,10,0.168
4158,Clothing Sales,female,Tanzania,TZ,not shared,field_partner,5,175,English,monthly,Clothing,funded,1 Year,0.143
4159,Pigs,female,Philippines,PH,shared,field_partner,9,350,English,irregular,Agriculture,funded,7,0.055
4160,Bakery,female,Peru,PE,shared,field_partner,13,625,Spanish,monthly,Food,funded,8,0.062
4161,Farming,male,El Salvador,SV,shared,field_partner,9,225,Spanish,bullet,Agriculture,funded,14,0.054
4162,Farming,female,Philippines,PH,shared,field_partner,28,725,English,irregular,Agriculture,funded,8,0.039
4163,Farming,male,Nigeria,NG,shared,field_partner,1,50,English,bullet,Agriculture,funded,17,0.311
4164,General Store,male,El Salvador,SV,shared,field_partner,1,700,Spanish,monthly,Retail,funded,15,0.077
4165,Fish Selling,female,Kenya,KE,shared,field_partner,2,275,English,irregular,Food,funded,13,0.075
4166,Higher education costs,male,Philippines,PH,shared,field_partner,14,350,English,monthly,Education,funded,15,0.027
4167,Farming,group,Cambodia,KH,shared,field_partner,15,400,English,monthly,Agriculture,funded,14,0.196
4168,Food Production/Sales,female,El Salvador,SV,shared,field_partner,20,800,Spanish,monthly,Food,funded,20,0.054
4169,Food Production/Sales,female,Bolivia,BO,not shared,field_partner,31,1000,Spanish,monthly,Food,funded,20,0.077
4170,General Store,female,Philippines,PH,shared,field_partner,4,325,English,irregular,Retail,funded,7,0.055
4171,Home Appliances,group,Cambodia,KH,shared,field_partner,5,125,English,monthly,Personal Use,funded,8,0.121
4172,Services,male,Colombia,CO,shared,field_partner,29,800,Spanish,bullet,Services,funded,20,0.005
4173,Farming,male,Tajikistan,TJ,not shared,field_partner,20,650,English,irregular,Agriculture,funded,13,0.033
4174,General Store,female,Timor-Leste,TL,not shared,field_partner,39,1000,English,monthly,Retail,funded,14,0.508
4175,Farming,female,Cambodia,KH,not shared,field_partner,47,1300,English,monthly,Agriculture,funded,20,0.16
4176,Farming,male,El Salvador,SV,shared,field_partner,9,300,Spanish,monthly,Agriculture,funded,14,0.077
4177,Fishing,male,Philippines,PH,shared,field_partner,7,225,English,irregular,Food,funded,1 Year,0.055
4178,General Store,female,El Salvador,SV,shared,field_partner,6,425,Spanish,monthly,Retail,not_funded,14,0.054
4179,Pigs,female,Philippines,PH,shared,field_partner,4,175,English,irregular,Agriculture,funded,14,0.055
4180,Sewing,female,Togo,TG,shared,field_partner,16,975,French,monthly,Services,funded,14,0.067
4181,Fishing,female,Philippines,PH,shared,field_partner,8,225,English,irregular,Food,funded,8,0.055
4182,Fruits & Vegetables,group,Nicaragua,NI,not shared,field_partner,28,1325,Spanish,irregular,Food,funded,7,0.161
4183,General Store,male,Bolivia,BO,not shared,field_partner,19,500,Spanish,irregular,Retail,funded,6,0.077
4184,Tailoring,female,Philippines,PH,shared,field_partner,16,600,English,irregular,Services,funded,8,0.039
4185,Restaurant,female,Philippines,PH,shared,field_partner,3,425,English,irregular,Food,funded,8,0.039
4186,General Store,female,Philippines,PH,shared,field_partner,8,225,English,irregular,Retail,funded,7,0.091
4187,Retail,female,Peru,PE,not shared,field_partner,5,200,Spanish,monthly,Retail,funded,8,0
4188,Grocery Store,female,Ghana,GH,shared,field_partner,11,275,English,monthly,Food,funded,8,0.122
4189,Motorcycle Transport,male,Kenya,KE,shared,field_partner,3,300,English,irregular,Transportation,not_funded,11,0.223
4190,Farming,female,Philippines,PH,shared,field_partner,13,350,English,monthly,Agriculture,funded,7,0.497
4191,Butcher Shop,male,Kenya,KE,shared,field_partner,25,650,English,monthly,Food,funded,11,0.02
4192,Food Production/Sales,female,Tajikistan,TJ,not shared,field_partner,7,175,Russian,monthly,Food,funded,13,0.086
4193,Food Market,female,Uganda,UG,shared,field_partner,4,100,English,irregular,Food,funded,8,0.371
4194,Tailoring,female,Pakistan,PK,shared,field_partner,6,300,English,monthly,Services,funded,14,0.039
4195,Retail,group,Burundi,BI,shared,field_partner,74,2675,French,irregular,Retail,funded,8,0.164
4196,Farming,group,Cambodia,KH,shared,field_partner,21,875,English,monthly,Agriculture,funded,14,0.16
4197,Agriculture,female,Honduras,HN,shared,field_partner,41,1050,Spanish,irregular,Agriculture,funded,22,0.077
4198,Farming,female,Kenya,KE,shared,field_partner,3,300,English,monthly,Agriculture,funded,14,0.509
4199,Fishing,female,Philippines,PH,shared,field_partner,4,125,English,irregular,Food,funded,8,0.055
4200,Retail,female,Philippines,PH,shared,field_partner,3,175,English,irregular,Retail,funded,8,0.039
4201,Photography,female,Uganda,UG,shared,field_partner,24,600,English,irregular,Services,funded,8,0.013
4202,Higher education costs,male,Peru,PE,not shared,field_partner,21,800,Spanish,irregular,Education,funded,6,0.062
4203,Motorcycle Transport,female,Cambodia,KH,not shared,field_partner,39,1500,English,monthly,Transportation,funded,26,0.16
4204,General Store,female,Philippines,PH,shared,field_partner,17,525,English,irregular,Retail,funded,8,0.055
4205,Home Appliances,group,Cambodia,KH,shared,field_partner,3,150,English,monthly,Personal Use,funded,8,0.696
4206,Rickshaw,female,Philippines,PH,shared,field_partner,16,425,English,irregular,Transportation,funded,8,0.055
4207,Furniture Making,female,Peru,PE,shared,field_partner,30,775,Spanish,irregular,Manufacturing,funded,6,0.062
4208,Personal Housing Expenses,female,Nicaragua,NI,shared,field_partner,11,325,Spanish,monthly,Housing,funded,14,0.112
4209,Pigs,female,Philippines,PH,shared,field_partner,10,250,English,irregular,Agriculture,funded,13,0.055
4210,Cereals,group,Malawi,MW,shared,field_partner,24,1750,English,irregular,Food,funded,5,0.183
4211,Home Products Sales,female,Philippines,PH,not shared,field_partner,2,125,English,irregular,Retail,funded,7,0.039
4212,Higher education costs,female,Jordan,JO,shared,field_partner,14,725,English,monthly,Education,funded,18,0.005
4213,Grocery Store,female,Philippines,PH,shared,field_partner,26,650,English,irregular,Food,funded,7,0.029
4214,Farming,group,Cambodia,KH,shared,field_partner,18,600,English,monthly,Agriculture,funded,14,0.204
4215,Personal Housing Expenses,female,Vietnam,VN,shared,field_partner,27,675,English,monthly,Housing,funded,20,0.057
4216,Motorcycle Transport,male,Kenya,KE,shared,field_partner,1,500,English,monthly,Transportation,funded,14,0.075
4217,General Store,female,Philippines,PH,shared,field_partner,7,200,English,irregular,Retail,funded,8,0.055
